Year,formatted_title,Important Words
2013,"A Cross-Task Flexible Transition Model For Arabic Tokenization, Affix Detection, Affix Labeling, Pos Tagging, And Dependency Parsing","cross-task flexible transition model, arabic tokenization, affix detection, affix labeling, pos tagging, dependency parsing"
2019,Run Through The Streets: A New Dataset And Baseline Models For Realistic Urban Navigation,"dataset, baseline models, realistic urban navigation"
2001,Automatic Verb Classification Using Multilingual Resources,"verb classification, multilingual resources, automatic"
2006,Multi-Domain Spoken Dialogue System With Extensibility And Robustness Against Speech Recognition Errors,"multi-domain spoken dialogue system, extensibility, robustness, speech recognition errors"
2021,Lexical Meanings Of Ditransitive Verbs In Japanese,"lexical meanings, ditransitive verbs, japanese"
2018,Annotation En Actes De Dialogue Pour Les Conversations D'Assistance En Ligne (Dialog Acts Annotations For Online Chats),"annotation, actes de dialogue, conversations d'assistance en ligne, dialog acts, online chats"
2019,Michael: Mining Character-Level Patterns For Arabic Dialect Identification (Madar Challenge),"michael, mining character-level patterns, arabic dialect identification, madar challenge"
2018,Cuni Nmt System For Wat 2018 Translation Tasks,"cuni nmt system, wat 2018 translation tasks"
2012,Linguistic Resources For Handwriting Recognition And Translation Evaluation,"linguistic resources, handwriting recognition, translation evaluation"
2001,Issues In Chinese Prosody : Conceptual Foundations Of A Linguistically-Motivated Text-To-Speech System For Mandarin,"chinese prosody, conceptual foundations, linguistically-motivated text-to-speech system, mandarin"
1993,Book Reviews: Natural Language Processing: The Plnlp Approach,"natural language processing, plnlp approach"
2014,A Cascade Approach For Complex-Type Classification,"cascade approach, complex-type classification"
2021,Mod\'Eliser La Perception Des Genres Musicaux \`A Travers Diff\'Erentes Cultures \`A Partir De Ressources Linguistiques (Modeling The Music Genre Perception Across Language-Bound Cultures ),"perception, genres musicaux (music genre), cultures, ressources linguistiques (linguistic resources), modeling"
2011,Multi-Domain Cross-Lingual Information Extraction From Clean And Noisy Texts,"multi-domain, cross-lingual information extraction, clean texts, noisy texts"
2017,Identifying The Provision Of Choices In Privacy Policy Text,"provision of choices, privacy policy text"
2018,Evaluating Discourse Phenomena In Neural Machine Translation,"discourse phenomena, neural machine translation"
2021,Think Before You Speak: Learning To Generate Implicit Knowledge For Response Generation By Self-Talk,"implicit knowledge, response generation, self-talk"
2017,Projecting Multiword Expression Resources On A Polish Treebank,"multiword expression resources, polish treebank"
2020,Learning Constraints For Structured Prediction Using Rectifier Networks,"learning constraints, structured prediction, rectifier networks"
2012,Incremental Learning Of Affix Segmentation,"incremental learning, affix segmentation"
2012,Construction Of The Turkish National Corpus (Tnc),turkish national corpus (tnc)
2014,An Unsupervised Model For Instance Level Subcategorization Acquisition,"unsupervised model, instance level subcategorization acquisition"
2016,Bridging The Gap Between Extractive And Abstractive Summaries: Creation And Evaluation Of Coherent Extracts From Heterogeneous Sources,"extractive summaries, abstractive summaries, coherent extracts, heterogeneous sources, bridging the gap, creation, evaluation"
2006,An Automatic Method For Summary Evaluation Using Multiple Evaluation Results By A Manual Method,"automatic method, summary evaluation, multiple evaluation results, manual method"
2017,Hierarchical Word Structure-Based Parsing: A Feasibility Study On Ud-Style Dependency Parsing In Japanese,"hierarchical word structure-based parsing, feasibility study, ud-style dependency parsing, japanese"
2022,Equivariant Transduction Through Invariant Alignment,"equivariant transduction, invariant alignment"
2016,Modeling Language Change In Historical Corpora: The Case Of Portuguese,"modeling language change, historical corpora, portuguese"
2009,"Proceedings Of The Workshop On Software Engineering, Testing, And Quality Assurance For Natural Language Processing (Setqa-Nlp 2009)","workshop on software engineering, testing, quality assurance, natural language processing, setqa-nlp 2009"
2022,Choose Your Lenses: Flaws In Gender Bias Evaluation,"lenses, gender bias evaluation"
1994,Using A Textual Representation Level Component In The Context Of Discourse And Dialogue Generation,"textual representation level component, discourse, dialogue generation"
2021,Modeling Content And Context With Deep Relational Learning,"modeling content, context, deep relational learning"
2020,Unsupervised Keyword Extraction For Full-Sentence Vqa,"unsupervised keyword extraction, full-sentence vqa"
2009,Bayesian Learning Of A Tree Substitution Grammar,"bayesian learning, tree substitution grammar"
2022,Director: Generator-Classifiers For Supervised Language Modeling,"director, generator-classifiers, supervised language modeling"
2015,Evaluating The Performance Of Automated Text Scoring Systems,"automated text scoring systems, performance"
2017,Twitter Language Identification Of Similar Languages And Dialects Without Ground Truth,"twitter, language identification, similar languages, dialects, ground truth"
2008,The ``Close-Distant'' Relation Of Adjectival Concepts Based On Self-Organizing Map,"close-distant relation, adjectival concepts, self-organizing map"
1998,Tipster Phase Iii Accomplishments,tipster phase iii
2008,A Comparative Cross-Domain Study Of The Occurrence Of Laughter In Meeting And Seminar Corpora,"comparative cross-domain study, occurrence of laughter, meeting corpora, seminar corpora"
2020,A Sentiment-Controllable Topic-To-Essay Generator With Topic Knowledge Graph,"sentiment-controllable topic-to-essay generator, topic knowledge graph"
2015,Perceptually Grounded Selectional Preferences,"perceptually grounded, selectional preferences"
2015,Novel Document Level Features For Statistical Machine Translation,"document level features, statistical machine translation"
2013,"What Is In A Text, What Isn'T, And What This Has To Do With Lexical Semantics","text, lexical semantics"
2011,Summarizing Decisions In Spoken Meetings,"decisions, spoken meetings"
1994,Annotation Of Atis Data,"atis data, annotation"
2012,Rombac: The Romanian Balanced Annotated Corpus,"rombac, romanian balanced annotated corpus"
2018,Representing Spatial Relations In Framenet,"spatial relations, framenet"
2013,Aligning Formal Meaning Representations With Surface Strings For Wide-Coverage Text Generation,"formal meaning representations, surface strings, wide-coverage text generation"
2012,Towards Automatic Topical Question Generation,automatic topical question generation
2021,Grounding Plural Phrases: Countering Evaluation Biases By Individuation,"grounding plural phrases, countering evaluation biases, individuation"
2021,A (Mostly) Symbolic System For Monotonic Inference With Unscoped Episodic Logical Forms,"symbolic system, monotonic inference, unscoped episodic logical forms"
2020,A Span-Based Linearization For Constituent Trees,"span-based linearization, constituent trees"
2010,Multi-Document Summarization Via Budgeted Maximization Of Submodular Functions,"multi-document summarization, budgeted maximization, submodular functions"
2015,On Grammaticality In The Syntactic Annotation Of Learner Language,"grammaticality, syntactic annotation, learner language"
2021,Focused Attention Improves Document-Grounded Generation,"focused attention, document-grounded generation"
2012,Annotating A Corpus Of Human Interaction With Prosodic Profiles --- Focusing On Mandarin Repair/Disfluency,"corpus of human interaction, prosodic profiles, mandarin repair/disfluency"
1993,Towards Efficient Parsing With Proof-Nets,"efficient parsing, proof-nets"
2015,Types Of Aspect Terms In Aspect-Oriented Sentiment Labeling,"aspect terms, aspect-oriented sentiment labeling"
2019,Word Sense Disambiguation Based On Constrained Random Walks In Linked Semantic Networks,"word sense disambiguation, constrained random walks, linked semantic networks"
2016,Easy Things First: Installments Improve Referring Expression Generation For Objects In Photographs,"referring expression generation, objects, photographs"
2000,Modeling The Effect Of Cross-Language Ambiguity On Human Syntax Acquisition,"cross-language ambiguity, human syntax acquisition, modeling"
2013,Using Pu-Learning To Detect Deceptive Opinion Spam,"pu-learning, deceptive opinion spam"
2008,Unsupervised Resource Creation For Textual Inference Applications,"unsupervised resource creation, textual inference applications"
2016,Integer Linear Programming For Discourse Parsing,"integer linear programming, discourse parsing"
2021,Revisiting Multi-Domain Machine Translation,multi-domain machine translation
2001,Fine-Grained Hidden Markov Modeling For Broadcast-News Story Segmentation,"fine-grained hidden markov modeling, broadcast-news story segmentation"
2022,Parsing Early Modern English For Linguistic Search,"early modern english, linguistic search"
2021,Capturing Gradience In Long-Distance Phonology Using Probabilistic Tier-Based Strictly Local Grammars,"gradience, long-distance phonology, probabilistic tier-based strictly local grammars"
2014,Classifying Negative Findings In Biomedical Publications,"negative findings, biomedical publications"
1999,The Syntactic Processing Of Particles In Japanese Spoken Language,"syntactic processing, particles, japanese spoken language"
2020,Summarize Before Aggregate: A Global-To-Local Heterogeneous Graph Inference Network For Conversational Emotion Recognition,"aggregate, global-to-local heterogeneous graph inference network, conversational emotion recognition"
2022,The Dangers Of Underclaiming: Reasons For Caution When Reporting How Nlp Systems Fail,"nlp systems, underclaiming"
1965,Data Preparation For Syntactic Translation,"data preparation, syntactic translation"
2006,Tokenization And Morphological Analysis For Malagasy,"tokenization, morphological analysis, malagasy"
2016,Retrieval Term Prediction Using Deep Learning Methods,"retrieval term, prediction, deep learning methods"
2017,Lct-Malta'S Submission To Repeval 2017 Shared Task,"lct-malta, repeval 2017 shared task"
2020,Iiitg-Adbu At Semeval-2020 Task 12: Comparison Of Bert And Bilstm In Detecting Offensive Language,"iiitg-adbu, semeval-2020 task 12, bert, bilstm, offensive language"
2016,"A Tag-Based English Math Word Problem Solver With Understanding, Reasoning And Explanation","tag-based english math word problem solver, understanding, reasoning, explanation"
2016,Surveys: A Survey Of Word Reordering In Statistical Machine Translation: Computational Models And Language Phenomena,"surveys, word reordering, statistical machine translation, computational models, language phenomena"
2015,How Constructions Mean,constructions
2017,Ranking Convolutional Recurrent Neural Networks For Purchase Stage Identification On Imbalanced Twitter Data,"convolutional recurrent neural networks, purchase stage identification, imbalanced twitter data"
2019,You Only Need Attention To Traverse Trees,"attention, traverse trees"
2017,Uwaterloo At Semeval-2017 Task 7: Locating The Pun Using Syntactic Characteristics And Corpus-Based Metrics,"uwaterloo, semeval-2017 task 7, pun, syntactic characteristics, corpus-based metrics"
2012,Conandoyle-Neg: Annotation Of Negation Cues And Their Scope In Conan Doyle Stories,"conandoyle-neg, annotation, negation cues, scope, conan doyle stories"
2021,``It Doesn'T Look Good For A Date'': Transforming Critiques Into Preferences For Conversational Recommendation Systems,conversational recommendation systems
2021,Zero-Shot Cross-Lingual Dependency Parsing Through Contextual Embedding Transformation,"zero-shot cross-lingual dependency parsing, contextual embedding transformation"
2009,Turn-Yielding Cues In Task-Oriented Dialogue,"turn-yielding cues, task-oriented dialogue"
2017,"Dialport, Gone Live: An Update After A Year Of Development",dialport
2019,Towards A Metric For Automated Conversational Dialogue System Evaluation And Improvement,"metric, automated conversational dialogue system, evaluation, improvement"
2006,Developing And Using A Pilot Dialectal Arabic Treebank,pilot dialectal arabic treebank
2005,Machine Translation Based On Constraint-Based Synchronous Grammar,"machine translation, constraint-based synchronous grammar"
2020,An Expectation Maximisation Algorithm For Automated Cognate Detection,"expectation maximisation algorithm, automated cognate detection"
2022,Transferring Confluent Knowledge To Argument Mining,"confluent knowledge, argument mining"
2012,Phrase-Based Evaluation For Machine Translation,"phrase-based evaluation, machine translation"
2014,Sentence-Level Rewriting Detection,sentence-level rewriting detection
2016,Multilingual Relation Extraction Using Compositional Universal Schema,"multilingual relation extraction, compositional universal schema"
2014,Improved Correction Detection In Revised Esl Sentences,"correction detection, revised esl sentences"
2016,Finding Rising And Falling Words,"rising words, falling words"
2014,Exploring Fine-Grained Entity Type Constraints For Distantly Supervised Relation Extraction,"fine-grained entity type constraints, distantly supervised relation extraction"
2020,Propagate-Selector: Detecting Supporting Sentences For Question Answering Via Graph Neural Networks,"propagate-selector, supporting sentences, question answering, graph neural networks"
2010,Improved Statistical Measures To Assess Natural Language Parser Performance Across Domains,"statistical measures, natural language parser performance, domains"
2014,A Hybrid Approach To Features Representation For Fine-Grained Arabic Named Entity Recognition,"hybrid approach, features representation, fine-grained arabic named entity recognition"
2020,Design Challenges In Low-Resource Cross-Lingual Entity Linking,"design challenges, low-resource cross-lingual entity linking"
2022,Probing As Quantifying Inductive Bias,"probing, quantifying, inductive bias"
2018,No More Beating About The Bush : A Step Towards Idiom Handling For Indian Language Nlp,"idiom handling, indian language nlp"
1982,A Pragmatic Concept Of Theme And Rheme For Machine Translation,"pragmatic concept, theme and rheme, machine translation"
2012,Addressing Polysemy In Bilingual Lexicon Extraction From Comparable Corpora,"polysemy, bilingual lexicon extraction, comparable corpora"
2012,Fast Unsupervised Dependency Parsing With Arc-Standard Transitions,"unsupervised dependency parsing, arc-standard transitions"
2018,Veyn At Parseme Shared Task 2018: Recurrent Neural Networks For Vmwe Identification,"veyn, parseme shared task 2018, recurrent neural networks, vmwe identification"
2016,Semantic Representations Of Word Senses And Concepts,"semantic representations, word senses, concepts"
2020,Verbal Multiword Expressions For Identification Of Metaphor,"verbal multiword expressions, identification, metaphor"
1996,Sources Of Flexibility In Dynamic Hypertext Generation,"flexibility, dynamic hypertext generation"
2017,On The Challenges Of Translating Nlp Research Into Commercial Products,"challenges, translating, nlp research, commercial products"
2011,Towards Multi-Document Summarization Of Scientific Articles:Making Interesting Comparisons With Scisumm,"multi-document summarization, scientific articles, interesting comparisons, scisumm"
2016,Semantic Links For Portuguese,"semantic links, portuguese"
2006,Modeling Human Sentence Processing Data With A Statistical Parts-Of-Speech Tagger,"human sentence processing data, statistical parts-of-speech tagger, modeling"
2013,Automatic Voice Selection In Japanese Based On Various Linguistic Information,"automatic voice selection, japanese, linguistic information"
2013,Upc-Core: What Can Machine Translation Evaluation Metrics And Wikipedia Do For Estimating Semantic Textual Similarity?,"upc-core, machine translation evaluation metrics, semantic textual similarity, wikipedia"
2008,Identify Temporal Websites Based On User Behavior Analysis,"temporal websites, user behavior analysis"
2021,Roff - A Romanian Twitter Dataset For Offensive Language,"roff, romanian twitter dataset, offensive language"
2005,Sentence Fusion For Multidocument News Summarization,"sentence fusion, multidocument news summarization"
2021,Bert Meets Cranfield: Uncovering The Properties Of Full Ranking On Fully Labeled Data,"bert, cranfield, properties, full ranking, fully labeled data"
2002,Quantitative Parameters In Corpus Design: Estimating The Optimum Text Size In Modern Greek Language,"quantitative parameters, corpus design, optimum text size, modern greek language"
2006,Finding The Appropriate Generalization Level For Binary Ontological Relations Extracted From The Genia Corpus,"appropriate generalization level, binary ontological relations, genia corpus"
2005,The Influence Of Data Homogeneity On Nlp System Performance,"data homogeneity, nlp system performance"
2003,Annotated Hungarian National Corpus,annotated hungarian national corpus
2006,A Novel Textual Encoding Paradigm Based On Semantic Web Tools And Semantics,"textual encoding paradigm, semantic web tools, semantics"
2021,Evaluating The Values Of Sources In Transfer Learning,"values of sources, transfer learning"
2011,Evaluating The Effect Of Word Frequencies In A Probabilistic Generative Model Of Morphology,"word frequencies, probabilistic generative model, morphology"
2021,Structured Refinement For Sequential Labeling,"structured refinement, sequential labeling"
2017,Learning Antonyms With Paraphrases And A Morphology-Aware Neural Network,"antonyms, paraphrases, morphology-aware neural network"
2013,Sexual Predator Detection In Chats With Chained Classifiers,"sexual predator detection, chats, chained classifiers"
2020,Multi-Hop Inference For Question-Driven Summarization,"multi-hop inference, question-driven summarization"
2010,Soochow University: Description And Analysis Of The Chinese Word Sense Induction System For Clp2010,"soochow university, chinese word sense induction system, clp2010"
2015,Word Alignment Based Parallel Corpora Evaluation And Cleaning Using Machine Learning Techniques,"word alignment, parallel corpora evaluation, cleaning, machine learning techniques"
2018,Leveraging Data Resources For Cross-Linguistic Information Retrieval Using Statistical Machine Translation,"data resources, cross-linguistic information retrieval, statistical machine translation"
2022,Detecting Rumor Veracity With Only Textual Information By Double-Channel Structure,"rumor veracity, textual information, double-channel structure"
2019,Distantly Supervised Biomedical Knowledge Acquisition Via Knowledge Graph Based Attention,"distantly supervised, biomedical knowledge acquisition, knowledge graph, attention"
1961,The Classification Of English Verbs By Object Types,"classification, english verbs, object types"
2008,Tulipa: A Syntax-Semantics Parsing Environment For Mildly Context-Sensitive Formalisms,"tulipa, syntax-semantics parsing environment, mildly context-sensitive formalisms"
2020,A Deep Learning System For Sentiment Analysis Of Service Calls,"deep learning system, sentiment analysis, service calls"
2020,Parsing Icelandic Al\Thingi Transcripts: Parliamentary Speeches As A Genre,"icelandic al\thingi transcripts, parliamentary speeches, genre"
2012,"What'S Your Pick: Rbmt, Smt Or Hybrid?","rbmt, smt, hybrid"
2012,The Lre Map. Harmonising Community Descriptions Of Resources,"lre map, community descriptions of resources"
2012,Open Language Learning For Information Extraction,"open language learning, information extraction"
2016,Multimodal Semantic Learning From Child-Directed Input,"multimodal semantic learning, child-directed input"
2021,Frequency Effects On Syntactic Rule Learning In Transformers,"frequency effects, syntactic rule learning, transformers"
2013,Augmentable Paraphrase Extraction Framework,paraphrase extraction framework
2022,New Intent Discovery With Pre-Training And Contrastive Learning,"intent discovery, pre-training, contrastive learning"
2017,A Data-Driven Model Of Explanations For A Chatbot That Helps To Practice Conversation In A Foreign Language,"data-driven model, explanations, chatbot, practice conversation, foreign language"
2005,Parallel Entity And Treebank Annotation,"parallel entity, treebank annotation"
2018,Adapt At Semeval-2018 Task 9: Skip-Gram Word Embeddings For Unsupervised Hypernym Discovery In Specialised Corpora,"adapt at semeval-2018 task 9, skip-gram word embeddings, unsupervised hypernym discovery, specialised corpora"
1999,Word Informativeness And Automatic Pitch Accent Modeling,"word informativeness, automatic pitch accent modeling"
2019,"Enabling Robust Grammatical Error Correction In New Domains: Data Sets, Metrics, And Analyses","robust grammatical error correction, new domains, data sets, metrics, analyses"
2022,Rakuten'S Participation In Wat 2022: Parallel Dataset Filtering By Leveraging Vocabulary Heterogeneity,"rakuten, wat 2022, parallel dataset, vocabulary heterogeneity, dataset filtering"
1996,The Automatic Extraction Of Open Compounds From Text Corpora,"automatic extraction, open compounds, text corpora"
2007,Semeval-2007 Task 06: Word-Sense Disambiguation Of Prepositions,"semeval-2007 task 06, word-sense disambiguation, prepositions"
2015,Lark Trills For Language Drills: Text-To-Speech Technology For Language Learners,"lark trills, language drills, text-to-speech technology, language learners"
2021,Nuig-Dsi'S Submission To The Gem Benchmark 2021,"nuig-dsi, gem benchmark 2021"
2016,Commonsense Knowledge Base Completion,commonsense knowledge base completion
2018,Proceedings Of The Conll--Sigmorphon 2018 Shared Task: Universal Morphological Reinflection,"conll, sigmorphon 2018 shared task, universal morphological reinflection"
2008,Creating And Querying A Domain Dependent Know-How Knowledge Base Of Advices And Warnings,"domain dependent know-how knowledge base, advices, warnings"
2013,Towards Accurate Distant Supervision For Relational Facts Extraction,"accurate distant supervision, relational facts extraction"
2003,Evaluation Of Features For Sentence Extraction On Different Types Of Corpora,"features, sentence extraction, types of corpora"
2014,Simple Negation Scope Resolution Through Deep Parsing: A Semantic Solution To A Semantic Problem,"simple negation scope resolution, deep parsing, semantic solution, semantic problem"
1985,Non Standard Uses Of If,"non standard uses, if"
2022,Telin: Table Entity Linker For Extracting Leaderboards From Machine Learning Publications,"telin, table entity linker, leaderboards, machine learning publications"
1991,Speech Understanding And Dialogue Over The Telephone: An Overview Of The Esprit Sundial Project.,"speech understanding, dialogue, telephone, esprit sundial project"
2019,Cameli@ : Analyses Automatiques D'E-Mails Pour Am\'Eliorer La Relation Client (Cameli@ : Automatic E-Mail Analysis To Improve The Customer Relationship ),"cameli@, analyses automatiques d'e-mails, am\'eliorer la relation client, automatic e-mail analysis, customer relationship"
2014,Database Design Of An Online E-Learning Tool Of Chinese Classifiers,"database design, online e-learning tool, chinese classifiers"
1992,A National Resource Grammar,national resource grammar
2005,Semantic Similarity For Detecting Recognition Errors In Automatic Speech Transcripts,"semantic similarity, recognition errors, automatic speech transcripts"
2010,Investigations Into The Crandem Approach To Word Recognition,"crandem approach, word recognition"
2014,The Evolving Infrastructure For Language Resources And The Role For Data Scientists,"evolving infrastructure, language resources, data scientists"
2019,Towards Coherent And Engaging Spoken Dialog Response Generation Using Automatic Conversation Evaluators,"coherent and engaging spoken dialog response generation, automatic conversation evaluators"
2010,On The Role Of Nlp In Linguistics,"nlp, linguistics"
2016,Kelp At Semeval-2016 Task 3: Learning Semantic Relations Between Questions And Answers,"kelp, semeval-2016 task 3, semantic relations, questions, answers"
2019,Comparing Linear And Neural Models For Competitive Mwe Identification,"linear models, neural models, competitive mwe identification"
2020,"A Shared Task Of A New, Collaborative Type To Foster Reproducibility: A First Exercise In The Area Of Language Science And Technology With Reprolang2020","shared task, collaborative type, reproducibility, language science, technology, reprolang2020"
2018,An Amr Aligner Tuned By Transition-Based Parser,"amr aligner, transition-based parser"
2013,Dale: A Word Sense Disambiguation System For Biomedical Documents Trained Using Automatically Labeled Examples,"dale, word sense disambiguation system, biomedical documents, automatically labeled examples"
1998,Coreference Resolution Strategies From An Application Perspective,"coreference resolution strategies, application perspective"
1999,Formalizing Translation Memories,translation memories
2004,Strategies For Advanced Question Answering,"strategies, advanced question answering"
2009,Toward Using Morphology In French-English Phrase-Based Smt,"morphology, french-english phrase-based smt"
2022,End-To-End Speech Translation Of Arabic To English Broadcast News,"end-to-end speech translation, arabic, english broadcast news"
2006,Development Of An Automatic Trend Exploration System Using The Must Data Collection,"automatic trend exploration system, must data collection"
2015,Proceedings Of The Workshop Natural Language Processing For Translation Memories,"workshop, natural language processing, translation memories"
2014,Deep Neural Network Applied To Part-Of-Speech Tagging (R\'Eseau De Neurones Profond Pour L'\'Etiquetage Morpho-Syntaxique) [In French],"deep neural network, part-of-speech tagging, r\'eseau de neurones profond, l'\'etiquetage morpho-syntaxique"
2021,Yseop At Finsim-3 Shared Task 2021: Specializing Financial Domain Learning With Phrase Representations,"yseop, finsim-3 shared task 2021, financial domain learning, phrase representations"
2018,Deepsa2018 At Semeval-2018 Task 1: Multi-Task Learning Of Different Label For Affect In Tweets,"deepsa2018, semeval-2018 task 1, multi-task learning, label for affect, tweets"
2021,Sliding Selector Network With Dynamic Memory For Extractive Summarization Of Long Documents,"sliding selector network, dynamic memory, extractive summarization, long documents"
2010,Clause Identification And Classification In Bengali,"clause identification, classification, bengali"
2022,Is My Model Using The Right Evidence? Systematic Probes For Examining Evidence-Based Tabular Reasoning,"model, evidence, systematic probes, evidence-based tabular reasoning"
2002,An Agent-Based Approach To Chinese Named Entity Recognition,"agent-based approach, chinese named entity recognition"
2002,Using Contextual Spelling Correction To Improve Retrieval Effectiveness In Degraded Text Collections,"contextual spelling correction, retrieval effectiveness, degraded text collections"
2005,Paradigmatic Modifiability Statistics For The Extraction Of Complex Multi-Word Terms,"paradigmatic modifiability statistics, extraction, complex multi-word terms"
2014,Shift-Reduce Ccg Parsing With A Dependency Model,"shift-reduce ccg parsing, dependency model"
1988,A New Design Of Prolog-Based Bottom-Up Parsing System With Government-Binding Theory,"prolog-based bottom-up parsing system, government-binding theory, design"
2022,A Closer Look At Parameter Contributions When Training Neural Language And Translation Models,"parameter contributions, training, neural language models, translation models"
